"";"clusters";"items"
"1";"list(""4k ultra hd video footage"", ""4k ultra hd video"")";"list(""{X4k,video}"")"
"2";"list(""8gb memory"", ""16gb memory"")";"list(""{memory}"")"
"3";"list(""dual led flash"", ""dual-led ring flash"")";"list(""{flash}"")"
"4";"list(""storage space"", ""storage option"")";"list(""{storage}"")"
"5";"list(""real camera"", ""mp camera"")";"list(""{camera}"")"
"6";"list(""favorite tune"", ""favorite content"", ""favorite moment"")";"list(""{}"")"
"7";"list(""usage time"", ""talk time"")";"list(""{time}"")"
"8";"list(""web content"", ""web connection"")";"list(""{web}"")"
"9";"list(""full high-definition"", ""720p high-definition"")";"list(""{high.definition}"")"
"10";"list(""great-looking photo"", ""taking photo"")";"list(""{photo}"")"
"11";"list(""motorolum droid turbo motxt1254vb 4g lte cell phone"", ""motorolum droid turbo vzw-motxt1254bn cell phone"")";"list(""{motorolum,droid,turbo,cell,phone,motorolum.droid,cell.phone,motorolum.droid.turbo}"")"
"12";"list(""corning gorilla glass 3"", ""featuring gorilla glass"")";"list(""{gorilla,glass,gorilla.glass}"")"
"13";"list(""datum plan"", ""datum pack"")";"list(""{datum}"")"
"14";"list(""google now"", ""google play"")";"list(""{google}"")"
"15";"list(""mp high-definition webcam"", ""720p high-definition"")";"list(""{high.definition}"")"
"16";"list(""lifelike image"", ""lifelike display"")";"list(""{}"")"
"17";"list(""voice plan"", ""voice command"")";"list(""{voice}"")"
"18";"list(""front-facing webcam"", ""front-facing camera"")";"list(""{front.facing}"")"
"19";"list(""dual front-facing speaker"", ""mp front-facing camera"")";"list(""{}"")"
"20";"list(""demanding application"", ""running application"")";"list(""{application}"")"
"21";"list(""phone performance"", ""reliable performance"")";"list(""{performance}"")"
"22";"list(""included lithium-ion battery"", ""mah lithium-ion battery"")";"list(""{lithium.ion,battery}"")"
"23";"list(""microsd card"", ""microsd slot"")";"list(""{microsd}"")"
"24";"list(""other web content"", ""other content"")";"list(""{content}"")"
"25";"list(""making phone call"", ""incoming phone call"")";"list(""{phone,call,phone.call}"")"
"26";"list(""curved design"", ""durable design"")";"list(""{design}"")"
"27";"list(""8x digital zoom"", ""4x digital zoom"")";"list(""{zoom}"")"
"28";"list(""rapid web connection"", ""fast web connection"", ""enables web connection"", ""quick web connection"")";"list(""{web,connection,web.connection}"")"
"29";"list(""motorolum moto x"", ""motorolum nexus"")";"list(""{motorolum}"")"
"30";"list(""led flash"", ""ring flash"")";"list(""{flash}"")"
"31";"list(""text messaging"", ""text message"")";"list(""{text,message}"")"
"32";"list(""text messaging"", ""multimedia messaging"")";"list(""{}"")"
"33";"list(""fast load time"", ""faster load time"")";"list(""{load,time,load.time}"")"
"34";"list(""motorolum droid razr cell phone"", ""motorolum atrix hd 4g cell phone"")";"list(""{motorolum,cell,phone}"")"
"35";"list(""qualcomm snapdragon s4 processor"", ""ghz dual-core qualcomm snapdragon processor"")";"list(""{qualcomm,snapdragon,processor,qualcomm.snapdragon}"")"
"36";"list(""storing media"", ""social media"")";"list(""{media}"")"
"37";"list(""easy view"", ""clear view"")";"list(""{view}"")"
"38";"list(""phone activation"", ""voice activation"")";"list(""{activation}"")"
"39";"list(""mp rear-facing camera"", ""mp front-facing camera"")";"list(""{camera}"")"
"40";"list(""favorite tune"", ""favorite music"", ""favorite moment"")";"list(""{}"")"
"41";"list(""super amoled touch screen"", ""super amoled advanced"")";"list(""{}"")"
"42";"list(""super amoled touch screen"", ""amoled hd touch screen"")";"list(""{touch,screen,touch.screen}"")"
"43";"list(""colorboost hd touch screen"", ""amoled hd touch screen"")";"list(""{hd,touch,screen,touch.screen}"")"
"44";"list(""kitkat operating system"", ""lollipop operating system"", ""jelly bean operate system"")";"list(""{operate,system}"")"
"45";"list(""kitkat operating system"", ""lollipop operating system"")";"list(""{operate,system}"")"
"46";"list(""quad hd super amoled touch screen"", ""quad hd amoled touch screen"")";"list(""{touch,screen,touch.screen}"")"
"47";"list(""taking photo"", ""action photo"")";"list(""{photo}"")"
