"";"clusters";"items"
"1";"list(""bluetooth 4.1"", ""bluetooth 4.0"")";"list(""{bluetooth}"")"
"2";"list(""5 device"", ""8 device"")";"list(""{device}"")"
"3";"list(""5.2 super amoled touch screen"", ""4.7 amoled hd touch screen"")";"list(""{touch,screen,touch.screen}"")"
"4";"list(""24 hour of usage time"", ""48 hour of talk time"")";"list(""{hour,time}"")"
"5";"list(""10 day of standby time"", ""24 day of standby time"")";"list(""{day,standby,time,standby.time,day.of.standby.time}"")"
"6";"list(""4.5 colorboost hd touch screen"", ""4.7 amoled hd touch screen"")";"list(""{touch,screen,touch.screen,hd.touch}"")"
"7";"list(""1.7 ghz processor"", ""1.5 ghz processor"")";"list(""{ghz,processor,ghz.processor}"")"
"8";"list(""8gb internal memory"", ""16gb internal memory"", ""32gb internal memory"")";"list(""{memory,internal.memory}"")"
"9";"list(""dual-core 1.7"", ""dual-core 1.5"")";"list(""{dual.core}"")"
"10";"list(""android 4.2.2"", ""android 4.0"", ""android 5.1"", ""android 4.4"", ""android 4.1"")";"list(""{android}"")"
"11";"list(""2.7 ghz qualcomm snapdragon"", ""ghz qualcomm snapdragon 805"")";"list(""{ghz,qualcomm,snapdragon,ghz.qualcomm.snapdragon,ghz.qualcomm}"")"
"12";"list(""24 day"", ""30 day"", ""10 day"")";"list(""{day}"")"
"13";"list(""13.0 mp rear-facing camera"", ""8.0 mp rear-facing camera"", ""2.1 mp front-facing camera"", ""2.0 mp front-facing camera"", ""10mp rear-facing camera"", ""21.0 mp rear-facing camera"")";"list(""{camera}"")"
"14";"list(""4.2.2 jelly bean operating system"", ""5.1 lollipop operating system"", ""4.4 kitkat operating system"", ""4.1 jelly bean operating system"")";"list(""{operating,system}"")"
"15";"list(""5.2 quad hd super amoled touch screen"", ""6 quad hd amole touch screen"", ""5.2 super amoled touch screen"")";"list(""{touch,screen,touch.screen,amoled.touch}"")"
"16";"list(""6 hour"", ""48 hour"", ""205 hour"", ""24 hour"")";"list(""{hour}"")"
"17";"list(""2.0 mp camera"", ""1.3 mp camera"", ""8.0 mp camera"")";"list(""{mp,camera,mp.camera}"")"
"18";"list(""960 x 540 resolution"", ""1280 x 720 resolution"", ""2560 x 1440 resolution"")";"list(""{resolution}"")"
"19";"list(""960 x 540 resolution"", ""2560 x 1440 pixel resolution"", ""2560 x 1440 resolution"")";"list(""{resolution}"")"
