Features;ItemSets;Clusters
2.0 mp front-facing camera;[mp, front-facing, camera, mp front-facing camera, mp front-facing];[6 hours of battery life, 10 days of standby time, 1.3 mp high-definition webcam, android 4.2.2, bluetooth 4.1, 1280 x 720 resolution, android 4.0, android 4.4, 6 quad hd amoled touch screen, 4.0 le, 6 motxt1103 cell phone, 4.5 colorboost hd touch screen, 8 wi-fi, 21.0 mp rear-facing camera, 4.0 ice cream sandwich operating system, mp3 player, 2.0 mp camera, 8.0 mp camera, 4.2.2 jelly bean operating system, 10mp rear-facing camera, 3900 mah battery, 1.7 ghz processor, 8 devices, 30 days, 2.7 ghz qualcomm snapdragon, 10 premium data, 8gb internal memory, dual-core 1.7, ghz qualcomm snapdragon 805, 48 hours of talk time, dual-band wi-fi 802.11, 4.1 jelly bean operating system, 15 minutes, 24 hours, 24 days of standby time, 5.2 quad hd super amoled touch screen, motorola nexus 6, 3200 mah lithium-ion battery, front-facing 1.3, 5 devices in 3g, 13.0 mp rear-facing camera, 2.1 mp front-facing camera, 5 devices, 960 x 540 resolution, 2560 x 1440 pixels resolution, 6 hours, 9 aspect ratio, 2560 x 1440 resolution, 8.0 mp rear-facing camera, 1.2 ghz dual-core qualcomm snapdragon processor, 750 minutes talk time, android 4.1, 4.5 screen, 48 hours, 2 free years, 32gb internal memory, 24 days, dual-core 1.5, full hd 1080p, 1080p recording, 205 hours, 24 hours of usage time, 805 quad-core processor, 2.0 mp front-facing camera, 16gb internal memory, 4.4 kitkat operating system, android 5.1, 1.5 ghz processor, 2 free years of google drive storage 50gb, 1.3 mp camera, bluetooth 4.0, 5.1 lollipop operating system, 10 days, 16 million colors, 5.2 super amoled touch screen, 30 days of activation, 4.7 amoled hd touch screen], [13.0 mp rear-facing camera, 8.0 mp rear-facing camera, 2.1 mp front-facing camera, 2.0 mp front-facing camera, 10mp rear-facing camera, 21.0 mp rear-facing camera]
8.0 mp rear-facing camera;[camera, mp rear-facing camera, rear-facing camera];[6 hours of battery life, 10 days of standby time, 1.3 mp high-definition webcam, android 4.2.2, bluetooth 4.1, 1280 x 720 resolution, android 4.0, android 4.4, 6 quad hd amoled touch screen, 4.0 le, 6 motxt1103 cell phone, 4.5 colorboost hd touch screen, 8 wi-fi, 21.0 mp rear-facing camera, 4.0 ice cream sandwich operating system, mp3 player, 2.0 mp camera, 8.0 mp camera, 4.2.2 jelly bean operating system, 10mp rear-facing camera, 3900 mah battery, 1.7 ghz processor, 8 devices, 30 days, 2.7 ghz qualcomm snapdragon, 10 premium data, 8gb internal memory, dual-core 1.7, ghz qualcomm snapdragon 805, 48 hours of talk time, dual-band wi-fi 802.11, 4.1 jelly bean operating system, 15 minutes, 24 hours, 24 days of standby time, 5.2 quad hd super amoled touch screen, motorola nexus 6, 3200 mah lithium-ion battery, front-facing 1.3, 5 devices in 3g, 13.0 mp rear-facing camera, 2.1 mp front-facing camera, 5 devices, 960 x 540 resolution, 2560 x 1440 pixels resolution, 6 hours, 9 aspect ratio, 2560 x 1440 resolution, 8.0 mp rear-facing camera, 1.2 ghz dual-core qualcomm snapdragon processor, 750 minutes talk time, android 4.1, 4.5 screen, 48 hours, 2 free years, 32gb internal memory, 24 days, dual-core 1.5, full hd 1080p, 1080p recording, 205 hours, 24 hours of usage time, 805 quad-core processor, 2.0 mp front-facing camera, 16gb internal memory, 4.4 kitkat operating system, android 5.1, 1.5 ghz processor, 2 free years of google drive storage 50gb, 1.3 mp camera, bluetooth 4.0, 5.1 lollipop operating system, 10 days, 16 million colors, 5.2 super amoled touch screen, 30 days of activation, 4.7 amoled hd touch screen], [13.0 mp rear-facing camera, 8.0 mp rear-facing camera, 2.1 mp front-facing camera, 2.0 mp front-facing camera, 10mp rear-facing camera, 21.0 mp rear-facing camera]
6 quad hd amoled touch screen;[touch, screen, touch screen, quad hd amoled touch screen, amoled touch, hd amoled touch, quad hd amoled touch];[6 hours of battery life, 10 days of standby time, 1.3 mp high-definition webcam, android 4.2.2, bluetooth 4.1, 1280 x 720 resolution, android 4.0, android 4.4, 6 quad hd amoled touch screen, 4.0 le, 6 motxt1103 cell phone, 4.5 colorboost hd touch screen, 8 wi-fi, 21.0 mp rear-facing camera, 4.0 ice cream sandwich operating system, mp3 player, 2.0 mp camera, 8.0 mp camera, 4.2.2 jelly bean operating system, 10mp rear-facing camera, 3900 mah battery, 1.7 ghz processor, 8 devices, 30 days, 2.7 ghz qualcomm snapdragon, 10 premium data, 8gb internal memory, dual-core 1.7, ghz qualcomm snapdragon 805, 48 hours of talk time, dual-band wi-fi 802.11, 4.1 jelly bean operating system, 15 minutes, 24 hours, 24 days of standby time, 5.2 quad hd super amoled touch screen, motorola nexus 6, 3200 mah lithium-ion battery, front-facing 1.3, 5 devices in 3g, 13.0 mp rear-facing camera, 2.1 mp front-facing camera, 5 devices, 960 x 540 resolution, 2560 x 1440 pixels resolution, 6 hours, 9 aspect ratio, 2560 x 1440 resolution, 8.0 mp rear-facing camera, 1.2 ghz dual-core qualcomm snapdragon processor, 750 minutes talk time, android 4.1, 4.5 screen, 48 hours, 2 free years, 32gb internal memory, 24 days, dual-core 1.5, full hd 1080p, 1080p recording, 205 hours, 24 hours of usage time, 805 quad-core processor, 2.0 mp front-facing camera, 16gb internal memory, 4.4 kitkat operating system, android 5.1, 1.5 ghz processor, 2 free years of google drive storage 50gb, 1.3 mp camera, bluetooth 4.0, 5.1 lollipop operating system, 10 days, 16 million colors, 5.2 super amoled touch screen, 30 days of activation, 4.7 amoled hd touch screen], [5.2 quad hd super amoled touch screen, 6 quad hd amoled touch screen, 5.2 super amoled touch screen]
8.0 mp camera;[mp, camera, mp camera];[6 hours of battery life, 10 days of standby time, 1.3 mp high-definition webcam, android 4.2.2, bluetooth 4.1, 1280 x 720 resolution, android 4.0, android 4.4, 6 quad hd amoled touch screen, 4.0 le, 6 motxt1103 cell phone, 4.5 colorboost hd touch screen, 8 wi-fi, 21.0 mp rear-facing camera, 4.0 ice cream sandwich operating system, mp3 player, 2.0 mp camera, 8.0 mp camera, 4.2.2 jelly bean operating system, 10mp rear-facing camera, 3900 mah battery, 1.7 ghz processor, 8 devices, 30 days, 2.7 ghz qualcomm snapdragon, 10 premium data, 8gb internal memory, dual-core 1.7, ghz qualcomm snapdragon 805, 48 hours of talk time, dual-band wi-fi 802.11, 4.1 jelly bean operating system, 15 minutes, 24 hours, 24 days of standby time, 5.2 quad hd super amoled touch screen, motorola nexus 6, 3200 mah lithium-ion battery, front-facing 1.3, 5 devices in 3g, 13.0 mp rear-facing camera, 2.1 mp front-facing camera, 5 devices, 960 x 540 resolution, 2560 x 1440 pixels resolution, 6 hours, 9 aspect ratio, 2560 x 1440 resolution, 8.0 mp rear-facing camera, 1.2 ghz dual-core qualcomm snapdragon processor, 750 minutes talk time, android 4.1, 4.5 screen, 48 hours, 2 free years, 32gb internal memory, 24 days, dual-core 1.5, full hd 1080p, 1080p recording, 205 hours, 24 hours of usage time, 805 quad-core processor, 2.0 mp front-facing camera, 16gb internal memory, 4.4 kitkat operating system, android 5.1, 1.5 ghz processor, 2 free years of google drive storage 50gb, 1.3 mp camera, bluetooth 4.0, 5.1 lollipop operating system, 10 days, 16 million colors, 5.2 super amoled touch screen, 30 days of activation, 4.7 amoled hd touch screen], [2.0 mp camera, 1.3 mp camera, 8.0 mp camera]
1.5 ghz processor;[ghz, processor, ghz processor];[6 hours of battery life, 10 days of standby time, 1.3 mp high-definition webcam, android 4.2.2, bluetooth 4.1, 1280 x 720 resolution, android 4.0, android 4.4, 6 quad hd amoled touch screen, 4.0 le, 6 motxt1103 cell phone, 4.5 colorboost hd touch screen, 8 wi-fi, 21.0 mp rear-facing camera, 4.0 ice cream sandwich operating system, mp3 player, 2.0 mp camera, 8.0 mp camera, 4.2.2 jelly bean operating system, 10mp rear-facing camera, 3900 mah battery, 1.7 ghz processor, 8 devices, 30 days, 2.7 ghz qualcomm snapdragon, 10 premium data, 8gb internal memory, dual-core 1.7, ghz qualcomm snapdragon 805, 48 hours of talk time, dual-band wi-fi 802.11, 4.1 jelly bean operating system, 15 minutes, 24 hours, 24 days of standby time, 5.2 quad hd super amoled touch screen, motorola nexus 6, 3200 mah lithium-ion battery, front-facing 1.3, 5 devices in 3g, 13.0 mp rear-facing camera, 2.1 mp front-facing camera, 5 devices, 960 x 540 resolution, 2560 x 1440 pixels resolution, 6 hours, 9 aspect ratio, 2560 x 1440 resolution, 8.0 mp rear-facing camera, 1.2 ghz dual-core qualcomm snapdragon processor, 750 minutes talk time, android 4.1, 4.5 screen, 48 hours, 2 free years, 32gb internal memory, 24 days, dual-core 1.5, full hd 1080p, 1080p recording, 205 hours, 24 hours of usage time, 805 quad-core processor, 2.0 mp front-facing camera, 16gb internal memory, 4.4 kitkat operating system, android 5.1, 1.5 ghz processor, 2 free years of google drive storage 50gb, 1.3 mp camera, bluetooth 4.0, 5.1 lollipop operating system, 10 days, 16 million colors, 5.2 super amoled touch screen, 30 days of activation, 4.7 amoled hd touch screen], [1.7 ghz processor, 1.5 ghz processor]
48 hours of talk time;[hours, talk, time, talk time, hours of talk time];[6 hours of battery life, 10 days of standby time, 1.3 mp high-definition webcam, android 4.2.2, bluetooth 4.1, 1280 x 720 resolution, android 4.0, android 4.4, 6 quad hd amoled touch screen, 4.0 le, 6 motxt1103 cell phone, 4.5 colorboost hd touch screen, 8 wi-fi, 21.0 mp rear-facing camera, 4.0 ice cream sandwich operating system, mp3 player, 2.0 mp camera, 8.0 mp camera, 4.2.2 jelly bean operating system, 10mp rear-facing camera, 3900 mah battery, 1.7 ghz processor, 8 devices, 30 days, 2.7 ghz qualcomm snapdragon, 10 premium data, 8gb internal memory, dual-core 1.7, ghz qualcomm snapdragon 805, 48 hours of talk time, dual-band wi-fi 802.11, 4.1 jelly bean operating system, 15 minutes, 24 hours, 24 days of standby time, 5.2 quad hd super amoled touch screen, motorola nexus 6, 3200 mah lithium-ion battery, front-facing 1.3, 5 devices in 3g, 13.0 mp rear-facing camera, 2.1 mp front-facing camera, 5 devices, 960 x 540 resolution, 2560 x 1440 pixels resolution, 6 hours, 9 aspect ratio, 2560 x 1440 resolution, 8.0 mp rear-facing camera, 1.2 ghz dual-core qualcomm snapdragon processor, 750 minutes talk time, android 4.1, 4.5 screen, 48 hours, 2 free years, 32gb internal memory, 24 days, dual-core 1.5, full hd 1080p, 1080p recording, 205 hours, 24 hours of usage time, 805 quad-core processor, 2.0 mp front-facing camera, 16gb internal memory, 4.4 kitkat operating system, android 5.1, 1.5 ghz processor, 2 free years of google drive storage 50gb, 1.3 mp camera, bluetooth 4.0, 5.1 lollipop operating system, 10 days, 16 million colors, 5.2 super amoled touch screen, 30 days of activation, 4.7 amoled hd touch screen], [24 hours of usage time, 48 hours of talk time]
24 hours;[hours];[6 hours of battery life, 10 days of standby time, 1.3 mp high-definition webcam, android 4.2.2, bluetooth 4.1, 1280 x 720 resolution, android 4.0, android 4.4, 6 quad hd amoled touch screen, 4.0 le, 6 motxt1103 cell phone, 4.5 colorboost hd touch screen, 8 wi-fi, 21.0 mp rear-facing camera, 4.0 ice cream sandwich operating system, mp3 player, 2.0 mp camera, 8.0 mp camera, 4.2.2 jelly bean operating system, 10mp rear-facing camera, 3900 mah battery, 1.7 ghz processor, 8 devices, 30 days, 2.7 ghz qualcomm snapdragon, 10 premium data, 8gb internal memory, dual-core 1.7, ghz qualcomm snapdragon 805, 48 hours of talk time, dual-band wi-fi 802.11, 4.1 jelly bean operating system, 15 minutes, 24 hours, 24 days of standby time, 5.2 quad hd super amoled touch screen, motorola nexus 6, 3200 mah lithium-ion battery, front-facing 1.3, 5 devices in 3g, 13.0 mp rear-facing camera, 2.1 mp front-facing camera, 5 devices, 960 x 540 resolution, 2560 x 1440 pixels resolution, 6 hours, 9 aspect ratio, 2560 x 1440 resolution, 8.0 mp rear-facing camera, 1.2 ghz dual-core qualcomm snapdragon processor, 750 minutes talk time, android 4.1, 4.5 screen, 48 hours, 2 free years, 32gb internal memory, 24 days, dual-core 1.5, full hd 1080p, 1080p recording, 205 hours, 24 hours of usage time, 805 quad-core processor, 2.0 mp front-facing camera, 16gb internal memory, 4.4 kitkat operating system, android 5.1, 1.5 ghz processor, 2 free years of google drive storage 50gb, 1.3 mp camera, bluetooth 4.0, 5.1 lollipop operating system, 10 days, 16 million colors, 5.2 super amoled touch screen, 30 days of activation, 4.7 amoled hd touch screen], [6 hours, 48 hours, 205 hours, 24 hours]
4.1 jelly bean operating system;[jelly, bean, operating, system, jelly bean operating system, jelly bean, operating system, jelly bean operating];[6 hours of battery life, 10 days of standby time, 1.3 mp high-definition webcam, android 4.2.2, bluetooth 4.1, 1280 x 720 resolution, android 4.0, android 4.4, 6 quad hd amoled touch screen, 4.0 le, 6 motxt1103 cell phone, 4.5 colorboost hd touch screen, 8 wi-fi, 21.0 mp rear-facing camera, 4.0 ice cream sandwich operating system, mp3 player, 2.0 mp camera, 8.0 mp camera, 4.2.2 jelly bean operating system, 10mp rear-facing camera, 3900 mah battery, 1.7 ghz processor, 8 devices, 30 days, 2.7 ghz qualcomm snapdragon, 10 premium data, 8gb internal memory, dual-core 1.7, ghz qualcomm snapdragon 805, 48 hours of talk time, dual-band wi-fi 802.11, 4.1 jelly bean operating system, 15 minutes, 24 hours, 24 days of standby time, 5.2 quad hd super amoled touch screen, motorola nexus 6, 3200 mah lithium-ion battery, front-facing 1.3, 5 devices in 3g, 13.0 mp rear-facing camera, 2.1 mp front-facing camera, 5 devices, 960 x 540 resolution, 2560 x 1440 pixels resolution, 6 hours, 9 aspect ratio, 2560 x 1440 resolution, 8.0 mp rear-facing camera, 1.2 ghz dual-core qualcomm snapdragon processor, 750 minutes talk time, android 4.1, 4.5 screen, 48 hours, 2 free years, 32gb internal memory, 24 days, dual-core 1.5, full hd 1080p, 1080p recording, 205 hours, 24 hours of usage time, 805 quad-core processor, 2.0 mp front-facing camera, 16gb internal memory, 4.4 kitkat operating system, android 5.1, 1.5 ghz processor, 2 free years of google drive storage 50gb, 1.3 mp camera, bluetooth 4.0, 5.1 lollipop operating system, 10 days, 16 million colors, 5.2 super amoled touch screen, 30 days of activation, 4.7 amoled hd touch screen], [4.2.2 jelly bean operating system, 5.1 lollipop operating system, 4.4 kitkat operating system, 4.1 jelly bean operating system]
full hd 1080p;[hd, 1080p, hd 1080p, full hd 1080p, full hd];[6 hours of battery life, 10 days of standby time, 1.3 mp high-definition webcam, android 4.2.2, bluetooth 4.1, 1280 x 720 resolution, android 4.0, android 4.4, 6 quad hd amoled touch screen, 4.0 le, 6 motxt1103 cell phone, 4.5 colorboost hd touch screen, 8 wi-fi, 21.0 mp rear-facing camera, 4.0 ice cream sandwich operating system, mp3 player, 2.0 mp camera, 8.0 mp camera, 4.2.2 jelly bean operating system, 10mp rear-facing camera, 3900 mah battery, 1.7 ghz processor, 8 devices, 30 days, 2.7 ghz qualcomm snapdragon, 10 premium data, 8gb internal memory, dual-core 1.7, ghz qualcomm snapdragon 805, 48 hours of talk time, dual-band wi-fi 802.11, 4.1 jelly bean operating system, 15 minutes, 24 hours, 24 days of standby time, 5.2 quad hd super amoled touch screen, motorola nexus 6, 3200 mah lithium-ion battery, front-facing 1.3, 5 devices in 3g, 13.0 mp rear-facing camera, 2.1 mp front-facing camera, 5 devices, 960 x 540 resolution, 2560 x 1440 pixels resolution, 6 hours, 9 aspect ratio, 2560 x 1440 resolution, 8.0 mp rear-facing camera, 1.2 ghz dual-core qualcomm snapdragon processor, 750 minutes talk time, android 4.1, 4.5 screen, 48 hours, 2 free years, 32gb internal memory, 24 days, dual-core 1.5, full hd 1080p, 1080p recording, 205 hours, 24 hours of usage time, 805 quad-core processor, 2.0 mp front-facing camera, 16gb internal memory, 4.4 kitkat operating system, android 5.1, 1.5 ghz processor, 2 free years of google drive storage 50gb, 1.3 mp camera, bluetooth 4.0, 5.1 lollipop operating system, 10 days, 16 million colors, 5.2 super amoled touch screen, 30 days of activation, 4.7 amoled hd touch screen], [full hd 1080p]
4.2.2 jelly bean operating system;[jelly, bean, operating, system, jelly bean operating system, jelly bean, operating system, jelly bean operating];[6 hours of battery life, 10 days of standby time, 1.3 mp high-definition webcam, android 4.2.2, bluetooth 4.1, 1280 x 720 resolution, android 4.0, android 4.4, 6 quad hd amoled touch screen, 4.0 le, 6 motxt1103 cell phone, 4.5 colorboost hd touch screen, 8 wi-fi, 21.0 mp rear-facing camera, 4.0 ice cream sandwich operating system, mp3 player, 2.0 mp camera, 8.0 mp camera, 4.2.2 jelly bean operating system, 10mp rear-facing camera, 3900 mah battery, 1.7 ghz processor, 8 devices, 30 days, 2.7 ghz qualcomm snapdragon, 10 premium data, 8gb internal memory, dual-core 1.7, ghz qualcomm snapdragon 805, 48 hours of talk time, dual-band wi-fi 802.11, 4.1 jelly bean operating system, 15 minutes, 24 hours, 24 days of standby time, 5.2 quad hd super amoled touch screen, motorola nexus 6, 3200 mah lithium-ion battery, front-facing 1.3, 5 devices in 3g, 13.0 mp rear-facing camera, 2.1 mp front-facing camera, 5 devices, 960 x 540 resolution, 2560 x 1440 pixels resolution, 6 hours, 9 aspect ratio, 2560 x 1440 resolution, 8.0 mp rear-facing camera, 1.2 ghz dual-core qualcomm snapdragon processor, 750 minutes talk time, android 4.1, 4.5 screen, 48 hours, 2 free years, 32gb internal memory, 24 days, dual-core 1.5, full hd 1080p, 1080p recording, 205 hours, 24 hours of usage time, 805 quad-core processor, 2.0 mp front-facing camera, 16gb internal memory, 4.4 kitkat operating system, android 5.1, 1.5 ghz processor, 2 free years of google drive storage 50gb, 1.3 mp camera, bluetooth 4.0, 5.1 lollipop operating system, 10 days, 16 million colors, 5.2 super amoled touch screen, 30 days of activation, 4.7 amoled hd touch screen], [4.2.2 jelly bean operating system, 5.1 lollipop operating system, 4.4 kitkat operating system, 4.1 jelly bean operating system]
