"";"clusters";"items"
"1";"list(""intense detail"", ""intricate detail"")";"list(""{detail}"")"
"2";"list(""brightview technology"", ""broadband technology"")";"list(""{technology}"")"
"3";"list(""supports sd memory card"", ""supports sd format"")";"list(""{support}"")"
"4";"list(""multiformat media reader"", ""multiformat digital media reader"")";"list(""{media,reader,media.reader}"")"
"5";"list(""hp touchsmart"", ""hp envy touchsmart"")";"list(""{hp,touchsmart}"")"
"6";"list(""hp truevision"", ""hp pavilion"")";"list(""{hp}"")"
"7";"list(""sharp detail"", ""crisp detail"")";"list(""{detail}"")"
"8";"list(""simple wireless pairing"", ""easy wireless pairing"")";"list(""{wireless,pairing,wireless.pairing}"")"
"9";"list(""4th gen"", ""5th gen"")";"list(""{gen}"")"
"10";"list(""clear image"", ""clear visual"")";"list(""{}"")"
"11";"list(""stylish touch"", ""stylish look"")";"list(""{}"")"
"12";"list(""clear visual"", ""lush visual"")";"list(""{visual}"")"
"13";"list(""web connection"", ""web content"")";"list(""{web}"")"
"14";"list(""cyberlink powerdirector"", ""cyberlink photodirector"", ""cyberlink power2go"")";"list(""{cyberlink}"")"
"15";"list(""1000base-t gigabit ethernet lan"", ""100base-t ethernet lan"")";"list(""{ethernet,lan,ethernet.lan}"")"
"16";"list(""cyberlink powerdirector"", ""cyberlink powerbackup"", ""cyberlink powerdvd"", ""cyberlink power2go"")";"list(""{cyberlink}"")"
"17";"list(""web access"", ""web page"", ""web video"")";"list(""{web}"")"
"18";"list(""clear image"", ""lush image"")";"list(""{image}"")"
"19";"list(""other bluetooth-enabled device"", ""select bluetooth-enabled device"")";"list(""{device}"")"
"20";"list(""hp 15-u011dx laptop"", ""hp envy 15-v010nr laptop"")";"list(""{laptop}"")"
"21";"list(""custom dvd"", ""customized cd"")";"list(""{}"")"
"22";"list(""stored datum"", ""other datum"")";"list(""{datum}"")"
"23";"list(""hp touchsmart"", ""hp protectsmart"")";"list(""{hp}"")"
"24";"list(""turbo boost"", ""usb boost"")";"list(""{boost}"")"
"25";"list(""drive protection safeguard"", ""drive protection guard"")";"list(""{drive,protection,drive.protection}"")"
"26";"list(""protectsmart hard drive protection guard"", ""hp protectsmart hard drive protection safeguard"")";"list(""{drive,protection,drive.protection}"")"
"27";"list(""hp pavilion gsrf-17-f113dx laptop"", ""hp pavilion 17-f140nr laptop"", ""hp pavilion x2 13-r100dx laptop"", ""hp pavilion gsrf-15-p100dx laptop"")";"list(""{hp,pavilion,laptop,hp.pavilion}"")"
"28";"list(""wled-backlit high-definition display"", ""other high-definition display"")";"list(""{display}"")"
"29";"list(""integrated dual-array digital microphone"", ""integrated dual digital microphone"", ""integrated digital microphone"")";"list(""{microphone}"")"
"30";"list(""led-backlit high-definition capacitive touch-screen display"", ""high-definition wled-backlit touch-screen display"", ""high-definition touch-screen display"")";"list(""{display}"")"
"31";"list(""textured linear finish"", ""hp texture linear finish"")";"list(""{finish}"")"
"32";"list(""hp envy 15-k220nr laptop"", ""hp envy 17-j140us laptop"", ""hp pavilion 17-f140nr laptop"", ""hp envy 15-v010nr laptop"")";"list(""{hp,laptop}"")"
"33";"list(""low lighting"", ""dim lighting"")";"list(""{lighting}"")"
"34";"list(""cents i3-4005u processor"", ""cents i7-4720hq processor"", ""cents i7-4710mq processor"", ""cents i3 processor"", ""cents i3-4012y processor"", ""cents i7-4510u processor"", ""cents i5 processor"", ""cents i5-5200u processor"", ""cents i5-4210m processor"", ""cents i5-4210u processor"", ""cents i7 processor"", ""cents i3-4010u processor"")";"list(""{cent,processor}"")"
"35";"list(""stable compute platform"", ""stable platform"")";"list(""{platform}"")"
"36";"list(""front-facing truevision"", ""front-facing hp truevision"")";"list(""{truevision}"")"
"37";"list(""wled-backlit high-definition display"", ""wled-backlit high-definition touch-screen display"")";"list(""{display}"")"
"38";"list(""wled-backlit high-definition touch-screen display"", ""wled-backlit high-definition capacitive touch screen"", ""led-backlit high-definition capacitive touch-screen display"")";"list(""{}"")"
"39";"list(""wled-backlit high-definition touch-screen display"", ""led-backlit high-definition capacitive touch-screen display"")";"list(""{display}"")"
"40";"list(""3mb cache"", ""3mb l3 cache"", ""4mb cache"", ""6mb cache"")";"list(""{cache}"")"
"41";"list(""simple connectivity"", ""flexible connectivity"")";"list(""{connectivity}"")"
"42";"list(""stunning clarity"", ""stunningly clear image"")";"list(""{}"")"
"43";"list(""stunning clarity"", ""striking clarity"")";"list(""{clarity}"")"
"44";"list(""rich detail"", ""intricate detail"")";"list(""{detail}"")"
"45";"list(""rich detail"", ""crisp detail"")";"list(""{detail}"")"
"46";"list(""built-in front-facing hp truevision high-definition webcam"", ""built-in front-facing truevision high-definition webcam"")";"list(""{truevision,high.definition,webcam}"")"
"47";"list(""built-in front-facing truevision high-definition webcam"", ""front-facing hp truevision high-definition webcam"")";"list(""{truevision,high.definition,webcam}"")"
"48";"list(""8gb nand flash memory"", ""8gb ddr3l memory"")";"list(""{memory}"")"
"49";"list(""8gb ddr3l memory"", ""12gb ddr3l sdram memory"", ""8gb ddr3l sdram memory"", ""6gb ddr3l sdram memory"", ""4gb ddr3l sdram memory"")";"list(""{memory}"")"
"50";"list(""simple connectivity"", ""simple connection"")";"list(""{}"")"
"51";"list(""simple connection"", ""web connection"")";"list(""{connection}"")"
"52";"list(""high-definition touch screen"", ""high-definition touch-screen display"")";"list(""{}"")"
"53";"list(""capacitive touch screen"", ""wled-backlit touch screen"")";"list(""{touch,screen,touch.screen}"")"
"54";"list(""hard drive"", ""cd-rw drive"")";"list(""{drive}"")"
"55";"list(""hard drive"", ""dvd drive"")";"list(""{drive}"")"
"56";"list(""1tb hard drive"", ""750gb hard drive"")";"list(""{drive}"")"
"57";"list(""web navigation"", ""easy navigation"", ""simple navigation"", ""content navigation"")";"list(""{navigation}"")"
"58";"list(""simple connection"", ""simple navigation"")";"list(""{}"")"
"59";"list(""built-in high-speed wireless lan"", ""built-in 1x1 wireless lan"", ""built-in 1x1 high-speed wireless lan"")";"list(""{wireless,lan,wireless.lan}"")"
