Features Trans;lan;ac;high-speed wireless lan;wireless lan;drive;rpm;hard drive;microsoft;windows;operating;system;microsoft windows;operating system;usb;ports;built-in high-speed wireless lan;superspeed usb;port;64-bit operating system;64-bit operating
high-speed wireless lan 802.11 ac;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
built-in 1x1 high-speed wireless lan 802.11 ac;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hard drive 5400 rpm;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
microsoft windows 8.1 operating system;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0
3 usb 3.0 ports;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
built-in high-speed wireless lan 802.11 ac;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
superspeed usb 3.0 ports;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0
usb 3.0 ports;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
usb 2.0 port;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
usb 2.0 ports;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
superspeed usb 3.0 port;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0
microsoft windows 8.1 64-bit operating system;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;1;1
3 superspeed usb 3.0 ports;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0
