"";"clusters";"items"
"1";"list(""1366 x 768 resolution"", ""1600 x 900 resolution"", ""1920 x 1080 resolution"")";"list(""{resolution}"")"
"2";"list(""8.1 64-bit operating system"", ""8.1 operating system"")";"list(""{operating,system,operating.system}"")"
"3";"list(""17.3 high-definition touch screen"", ""17.3 wled-backlit touch screen"")";"list(""{touch,screen,touch.screen}"")"
"4";"list(""15.6 wled-backlit touch screen"", ""15.6 capacitive touch screen"", ""17.3 wled-backlit touch screen"")";"list(""{touch,screen,touch.screen}"")"
"5";"list(""built-in high-speed wireless lan 802.11"", ""2x2 high-speed wireless lan"")";"list(""{lan,wireless.lan,high.speed.wireless.lan}"")"
"6";"list(""built-in high-speed wireless lan 802.11"", ""built-in 1x1 wireless lan 802.11"", ""built-in 1x1 high-speed wireless lan 802.11"")";"list(""{lan,wireless.lan}"")"
"7";"list(""turbo boost up to 2.7 ghz"", ""turbo boost up to 3.1 ghz"", ""turbo boost up to 3.6 ghz"", ""turbo boost up to 3.5 ghz"")";"list(""{turbo,boost,ghz,turbo.boost}"")"
"8";"list(""3.0 port"", ""2.0 port"", ""1 port"")";"list(""{port}"")"
"9";"list(""usb 2.0"", ""3 usb 3.0"")";"list(""{usb}"")"
"10";"list(""1 superspeed usb"", ""3 superspeed usb 3.0"", ""2 superspeed usb"")";"list(""{usb,superspeed.usb}"")"
"11";"list(""3839mb total video memory"", ""1792mb total video memory"")";"list(""{video,memory,video.memory,total.video.memory,total.video}"")"
"12";"list(""hd graphic 4600"", ""hd graphic 5500"", ""hd graphic 4200"", ""hd graphic 4400"")";"list(""{hd,graphic,hd.graphic}"")"
"13";"list(""3.0 port"", ""2.0 port"")";"list(""{port}"")"
"14";"list(""15.6 wled-backlit high-definition capacitive touch screen"", ""15.6 wled-backlit high-definition touch-screen display"", ""15.6 wled-backlit high-definition display"", ""13.3 wled-backlit high-definition touch-screen display"", ""15.6 led-backlit high-definition capacitive touch-screen display"", ""17.3 wled-backlit high-definition touch-screen display"")";"list(""{}"")"
"15";"list(""17.3 high-definition touch screen"", ""15.6 high-definition touch-screen display"")";"list(""{}"")"
"16";"list(""15.6 high-definition touch-screen display"", ""15.6 led-backlit high-definition capacitive touch-screen display"", ""15.6 high-definition wled-backlit touch-screen display"")";"list(""{display,touch.screen.display}"")"
"17";"list(""15.6 high-definition touch-screen display"", ""15.6 wled-backlit high-definition touch-screen display"", ""13.3 wled-backlit high-definition touch-screen display"", ""15.6 led-backlit high-definition capacitive touch-screen display"", ""17.3 wled-backlit high-definition touch-screen display"")";"list(""{display,touch.screen.display}"")"
"18";"list(""3.5 ghz"", ""3.1 ghz"", ""2.7 ghz"", ""3.6 ghz"")";"list(""{ghz}"")"
"19";"list(""1tb hard drive"", ""500gb hard drive"")";"list(""{drive,hard.drive}"")"
"20";"list(""17.3 wled-backlit touch screen"", ""17.3 wled-backlit hd"")";"list(""{}"")"
"21";"list(""2 usb"", ""4 usb"", ""1 usb"")";"list(""{usb}"")"
"22";"list(""5.02 lb"", ""7.1 lb"", ""6.91 lb"", ""5.29 lb"", ""5.7 lb"", ""5.74 lb"", ""5.3 lb"", ""6.23 lb"", ""5.9 lb"")";"list(""{lb}"")"
"23";"list(""2.5 ghz processor speed"", ""1.5 ghz processor speed"", ""1.7 ghz processor speed"", ""2.2 ghz processor speed"", ""2.0 ghz processor speed"", ""2.6 ghz processor speed"")";"list(""{ghz,processor,speed,ghz.processor.speed,ghz.processor}"")"
