Features;2783346.txt;9635227.txt;3301012.txt;1647088.txt;2783355.txt;9463417.txt;3297141.txt;8775019.txt;2940088.txt;3303047.txt
efficient multiway processing;YES;NO;NO;YES;NO;YES;NO;NO;NO;YES
increased energy efficiency;YES;NO;NO;YES;NO;YES;YES;NO;YES;YES
ultimate smart performance;YES;NO;NO;YES;NO;YES;NO;NO;NO;YES
1-month trial of microsoft office;YES;NO;NO;NO;YES;YES;NO;YES;NO;NO
cd-rw drive;YES;YES;NO;NO;YES;YES;YES;NO;YES;YES
fast digital video;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES
ghz processor speed;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES
microsoft office 365;YES;NO;NO;NO;YES;YES;NO;YES;NO;NO
read/write times;YES;YES;YES;YES;YES;NO;YES;NO;YES;YES
hdmi output;YES;NO;NO;NO;NO;NO;NO;NO;NO;NO
other bluetooth-enabled devices;YES;NO;NO;YES;YES;NO;NO;YES;YES;NO
100/1000base-t gigabit;YES;NO;NO;NO;NO;NO;NO;NO;NO;NO
hp finish in black licorice;NO;YES;NO;NO;NO;NO;NO;NO;NO;NO
smart 4-way processing performance;NO;YES;YES;NO;YES;NO;YES;YES;YES;NO
environmental protection agency;NO;YES;NO;NO;NO;NO;NO;NO;NO;NO
10/100base-t ethernet;NO;YES;NO;NO;YES;NO;YES;NO;NO;YES
u.s. department of energy;NO;YES;NO;NO;NO;NO;NO;NO;NO;NO
secure digital format;NO;YES;NO;NO;NO;NO;NO;YES;NO;NO
hd quality computing;NO;YES;NO;NO;YES;NO;NO;YES;NO;NO
stunningly clear images;NO;YES;NO;NO;NO;NO;NO;NO;NO;NO
extra graphics power;NO;YES;NO;NO;YES;NO;YES;YES;YES;NO
strict energy efficiency guidelines;NO;YES;NO;NO;NO;NO;NO;NO;NO;NO
rj-45 connector;NO;YES;YES;NO;NO;YES;YES;NO;YES;YES
front-facing truevision high-definition webcam;NO;YES;NO;NO;NO;NO;NO;NO;NO;YES
secure sharing of files;NO;YES;NO;NO;NO;NO;NO;NO;NO;NO
25gb of lifetime cloud storage;NO;YES;NO;NO;NO;NO;NO;NO;NO;NO
15.6 wled-backlit high-definition capacitive touch screen;NO;NO;YES;NO;NO;NO;NO;NO;NO;NO
hard drive 5400 rpm;NO;NO;YES;NO;NO;YES;YES;NO;NO;YES
ample storage space;NO;NO;YES;NO;NO;NO;NO;NO;NO;NO
1000 gigabit ethernet lan;NO;NO;YES;NO;NO;YES;NO;NO;YES;NO
cd/dvd drives;NO;NO;YES;YES;NO;NO;NO;YES;NO;NO
2 usb;NO;NO;YES;NO;NO;NO;NO;NO;NO;NO
touch screen;NO;NO;YES;NO;NO;NO;NO;NO;NO;NO
capacitive touch screen;NO;NO;YES;NO;NO;NO;NO;NO;NO;NO
hp protectsmart hard drive protection;NO;NO;YES;NO;NO;NO;NO;NO;NO;NO
hard drive;NO;NO;YES;NO;NO;NO;YES;NO;NO;YES
hp truevision high-definition webcam;NO;NO;YES;NO;NO;NO;NO;NO;NO;NO
supports sd memory cards;NO;NO;NO;YES;NO;NO;NO;NO;NO;NO
backlit keyboard;NO;NO;NO;YES;NO;NO;NO;NO;NO;NO
comfortable typing in dimly lit environments;NO;NO;NO;YES;NO;NO;NO;NO;NO;NO
high-speed wireless lan 802.11;NO;NO;NO;YES;NO;NO;NO;NO;NO;NO
displays visuals in realistic high-definition;NO;NO;NO;NO;YES;NO;NO;NO;NO;NO
bluetooth interface;NO;NO;NO;NO;YES;NO;NO;NO;NO;NO
select bluetooth-enabled devices;NO;NO;NO;NO;YES;NO;NO;NO;NO;NO
glass-fiber material;NO;NO;NO;NO;NO;YES;NO;NO;NO;NO
fast start-up times;NO;NO;NO;NO;NO;YES;NO;YES;NO;NO
spacious storage;NO;NO;NO;NO;NO;YES;NO;NO;NO;NO
other high-definition display;NO;NO;NO;NO;NO;YES;NO;NO;NO;NO
soft-touch paint finish in natural silver;NO;NO;NO;NO;NO;YES;NO;NO;NO;NO
17.3 high-definition touch screen;NO;NO;NO;NO;NO;YES;NO;NO;NO;NO
