Features;2783346.txt;9635227.txt;3301012.txt;1647088.txt;2783355.txt;9463417.txt;3297141.txt;8775019.txt;2940088.txt;3303047.txt
multiformat media reader;YES;YES;YES;NO;YES;NO;NO;YES;NO;NO
hard drive 5400 rpm;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES
hp envy 15-k220nr laptop;YES;NO;NO;NO;NO;NO;NO;NO;NO;NO
efficient multiway processing;YES;NO;NO;YES;NO;YES;NO;NO;NO;YES
increased energy efficiency;YES;NO;NO;YES;NO;YES;YES;NO;YES;YES
1920 x 1080 resolution;YES;NO;NO;YES;NO;NO;NO;NO;YES;NO
turbo boost technology;YES;NO;NO;YES;NO;YES;YES;NO;YES;YES
hd graphics 4600;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO
ultimate smart performance;YES;NO;NO;YES;NO;YES;NO;NO;NO;YES
1-month trial of microsoft office;YES;NO;NO;NO;YES;YES;NO;YES;NO;NO
cd-rw drive;YES;YES;NO;NO;YES;YES;YES;NO;YES;YES
1tb hard drive;YES;NO;NO;YES;NO;YES;NO;NO;YES;NO
fast digital video;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES
3 usb 3.0 ports;YES;NO;NO;NO;NO;NO;NO;NO;NO;NO
ghz processor speed;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES
1000base-t gigabit ethernet lan;YES;NO;NO;NO;NO;NO;NO;NO;NO;NO
8gb ddr3l sdram memory;YES;NO;YES;NO;NO;NO;NO;NO;YES;NO
15.6 wled-backlit touch screen;YES;NO;NO;YES;NO;NO;NO;NO;NO;NO
microsoft office 365;YES;NO;NO;NO;YES;YES;NO;YES;NO;NO
read/write times;YES;YES;YES;YES;YES;NO;YES;NO;YES;YES
hdmi output;YES;NO;NO;NO;NO;NO;NO;NO;NO;NO
microsoft windows 8.1 operating system;YES;NO;NO;NO;YES;NO;NO;NO;YES;NO
1792mb total video memory;YES;NO;YES;NO;NO;YES;YES;NO;NO;YES
built-in 1x1 high-speed wireless lan 802.11;YES;YES;NO;NO;YES;YES;YES;YES;NO;YES
other bluetooth-enabled devices;YES;NO;NO;YES;YES;NO;NO;YES;YES;NO
hp protectsmart hard drive protection;YES;NO;YES;NO;YES;NO;NO;YES;YES;NO
15.6 wled-backlit high-definition touch-screen display;YES;NO;NO;YES;NO;NO;NO;NO;NO;NO
media in rich detail;YES;NO;NO;YES;YES;NO;NO;NO;NO;NO
100/1000base-t gigabit;YES;NO;NO;NO;NO;NO;NO;NO;NO;NO
hp finish in black licorice;NO;YES;NO;NO;NO;NO;NO;NO;NO;NO
smart 4-way processing performance;NO;YES;YES;NO;YES;NO;YES;YES;YES;NO
15.6 led-backlit high-definition capacitive touch-screen display;NO;YES;NO;NO;NO;NO;NO;NO;NO;NO
superspeed usb 3.0 port;NO;YES;NO;NO;NO;NO;NO;NO;NO;NO
environmental protection agency;NO;YES;NO;NO;NO;NO;NO;NO;NO;NO
10/100base-t ethernet;NO;YES;NO;NO;YES;NO;YES;NO;NO;YES
15.6 capacitive touch screen;NO;YES;YES;NO;NO;NO;NO;NO;NO;NO
4gb ddr3l sdram memory;NO;YES;NO;NO;NO;NO;YES;YES;NO;NO
u.s. department of energy;NO;YES;NO;NO;NO;NO;NO;NO;NO;NO
secure digital format;NO;YES;NO;NO;NO;NO;NO;YES;NO;NO
hd quality computing;NO;YES;NO;NO;YES;NO;NO;YES;NO;NO
stunningly clear images;NO;YES;NO;NO;NO;NO;NO;NO;NO;NO
usb 2.0 ports;NO;YES;YES;NO;NO;NO;NO;NO;NO;NO
extra graphics power;NO;YES;NO;NO;YES;NO;YES;YES;YES;NO
strict energy efficiency guidelines;NO;YES;NO;NO;NO;NO;NO;NO;NO;NO
100base-t ethernet lan;NO;YES;NO;NO;YES;NO;YES;NO;NO;YES
500gb hard drive;NO;YES;NO;NO;YES;NO;NO;YES;NO;NO
1 superspeed usb;NO;YES;NO;NO;NO;NO;NO;NO;NO;NO
hd graphics 4400;NO;YES;NO;YES;YES;NO;YES;NO;NO;YES
rj-45 connector;NO;YES;YES;NO;NO;YES;YES;NO;YES;YES
front-facing truevision high-definition webcam;NO;YES;NO;NO;NO;NO;NO;NO;NO;YES
1366 x 768 resolution;NO;YES;YES;NO;NO;NO;NO;YES;NO;YES
integrated digital microphone;NO;YES;NO;NO;NO;NO;NO;NO;NO;NO
secure sharing of files;NO;YES;NO;NO;NO;NO;NO;NO;NO;NO
