"";"clusters";"items"
"1";"list(""129 group-dialing option"", ""103 group dialing destination"", ""199 group-dialing option"")";"list(""{}"")"
"2";"list(""600 x 600 dpus"", ""9600 x 9600 dpus"", ""300 x 300 dpus"", ""200 x 400 dpus"")";"list(""{dpus}"")"
"3";"list(""400 x 400 dpus ultrafine fax resolution"", ""203 x 391 dpus superfine fax resolution"")";"list(""{dpus,fax,resolution,fax.resolution}"")"
"4";"list(""33.6 kbp modem"", ""33.6 kbp super g3 modem"")";"list(""{kbp,modem}"")"
"5";"list(""35 cpm"", ""26 cpm"", ""12 cpm"", ""25 cpm"", ""22 cpm"")";"list(""{cpm}"")"
"6";"list(""100 code dial"", ""300 code dial"", ""200 speed dial"", ""30 speed dial"", ""181 code dial"", ""19 speed dial"")";"list(""{dial}"")"
"7";"list(""17 cpm duplex"", ""17 iso ppm duplex"")";"list(""{duplex}"")"
"8";"list(""print speeds up to 25 iso ppm"", ""copy speed up to 25 cpm"")";"list(""{speed}"")"
"9";"list(""8.7 seconds"", ""9 seconds"", ""3 seconds"", ""6 seconds"", ""13.5 seconds"", ""5.8 seconds"")";"list(""{seconds}"")"
"10";"list(""print speeds up to 25 iso ppm"", ""prints documents up to 26 iso ppm"", ""print speeds up to 19 iso ppm"")";"list(""{print,iso,ppm,iso.ppm}"")"
"11";"list(""22 iso ppm"", ""19 iso ppm"", ""35 iso ppm"", ""25 iso ppm"", ""26 iso ppm"")";"list(""{iso,ppm,iso.ppm}"")"
"12";"list(""600 x 400 dpus resolution"", ""400 x 400 dpus ultrafine fax resolution"")";"list(""{dpus,resolution}"")"
"13";"list(""600 x 400 dpus resolution"", ""1200 x 1200 dpus resolution"", ""600 x 600 dpus resolution"", ""1200 x 600 dpus resolution quality"")";"list(""{}"")"
